Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
ABI3	4	APOBEC1	5	1	8.54E-02	5.27E-01
ABI3	4	BSX	4	1	6.88E-02	5.27E-01
ABI3	4	C16orf54	5	1	8.54E-02	5.27E-01
ABI3	4	CA2	8	1	1.34E-01	5.27E-01
ABI3	4	CATSPER1	7	1	1.18E-01	5.27E-01
ABI3	4	CLIC5	8	1	1.34E-01	5.27E-01
ABI3	4	CMKLR1	7	1	1.18E-01	5.27E-01
ABI3	4	DIO2	8	1	1.34E-01	5.27E-01
ABI3	4	FAM69C	7	1	1.18E-01	5.27E-01
ABI3	4	FAM83C	11	1	1.81E-01	5.33E-01
ABI3	4	FCRL5	17	2	2.88E-02	5.27E-01
ABI3	4	GAB4	12	1	1.96E-01	5.33E-01
ABI3	4	GABRG1	18	1	2.82E-01	5.45E-01
ABI3	4	GPR139	9	1	1.50E-01	5.27E-01
ABI3	4	KCNQ2	11	1	1.81E-01	5.33E-01
ABI3	4	KLHL34	9	1	1.50E-01	5.27E-01
ABI3	4	LCE5A	4	1	6.88E-02	5.27E-01
ABI3	4	LRFN5	25	1	3.74E-01	5.82E-01
ABI3	4	LRP1B	87	1	1.00E+00	1.00E+00
ABI3	4	MIA2	11	1	1.81E-01	5.33E-01
ABI3	4	MRGPRX4	8	1	1.34E-01	5.27E-01
ABI3	4	MS4A14	13	1	2.11E-01	5.33E-01
ABI3	4	MYBPC1	13	1	2.11E-01	5.33E-01
ABI3	4	NR1I3	4	1	6.88E-02	5.27E-01
ABI3	4	NTNG2	8	1	1.34E-01	5.27E-01
ABI3	4	OCM2	3	1	5.19E-02	5.27E-01
ABI3	4	OR10K1	7	1	1.18E-01	5.27E-01
ABI3	4	OR2G6	14	1	2.25E-01	5.33E-01
ABI3	4	OR5M9	11	1	1.81E-01	5.33E-01
ABI3	4	OR8B4	12	1	1.96E-01	5.33E-01
ABI3	4	OR9Q2	8	1	1.34E-01	5.27E-01
ABI3	4	PROL1	7	1	1.18E-01	5.27E-01
ABI3	4	PRR23C	6	1	1.02E-01	5.27E-01
ABI3	4	PTF1A	9	1	1.50E-01	5.27E-01
ABI3	4	PTPRH	14	1	2.25E-01	5.33E-01
ABI3	4	PYY	2	1	3.49E-02	5.27E-01
ABI3	4	RB1	135	1	3.07E-01	5.52E-01
ABI3	4	RNGTT	5	1	8.54E-02	5.27E-01
ABI3	4	SLC9A4	11	1	1.81E-01	5.33E-01
ABI3	4	TMEM132D	50	1	1.00E+00	1.00E+00
ABI3	4	TP53	197	4	1.00E+00	1.00E+00
ABI3	4	ZNF521	21	1	3.22E-01	5.62E-01
ACSM5	10	AGXT	5	1	2.03E-01	5.33E-01
ACSM5	10	ANKRD30B	28	3	1.10E-01	5.27E-01
ACSM5	10	ATP1B4	7	1	2.73E-01	5.43E-01
ACSM5	10	BEX1	5	1	2.03E-01	5.33E-01
ACSM5	10	BSX	4	1	1.65E-01	5.27E-01
ACSM5	10	C6orf103	31	2	6.30E-01	7.46E-01
ACSM5	10	CA2	8	1	3.06E-01	5.52E-01
ACSM5	10	CATSPER1	7	1	2.73E-01	5.43E-01
ACSM5	10	CD1C	12	1	4.24E-01	6.01E-01
ACSM5	10	CDH7	13	1	4.51E-01	6.16E-01
ACSM5	10	CNTNAP5	34	2	6.47E-01	7.61E-01
ACSM5	10	CPXCR1	12	1	4.24E-01	6.01E-01
ACSM5	10	DIO2	8	1	3.06E-01	5.52E-01
ACSM5	10	ESX1	6	1	2.38E-01	5.33E-01
ACSM5	10	FAM47C	19	2	1.98E-01	5.33E-01
ACSM5	10	FAM83C	11	1	3.96E-01	5.88E-01
ACSM5	10	FCRL4	11	1	3.96E-01	5.88E-01
ACSM5	10	FGF23	7	1	2.73E-01	5.43E-01
ACSM5	10	GABRB1	12	1	4.24E-01	6.01E-01
ACSM5	10	GCG	8	1	3.06E-01	5.52E-01
ACSM5	10	GPR139	9	1	3.37E-01	5.63E-01
ACSM5	10	IFNA6	6	1	2.38E-01	5.33E-01
ACSM5	10	IQSEC3	9	1	3.37E-01	5.63E-01
ACSM5	10	JPH2	10	3	6.26E-03	4.96E-01
ACSM5	10	KCNQ2	11	1	3.96E-01	5.88E-01
ACSM5	10	KIAA1211	28	1	1.00E+00	1.00E+00
ACSM5	10	KLHL34	9	1	3.37E-01	5.63E-01
ACSM5	10	KRTAP2-2	5	1	2.03E-01	5.33E-01
ACSM5	10	LCE5A	4	2	9.95E-03	5.16E-01
ACSM5	10	LILRB2	14	1	4.76E-01	6.36E-01
