Gene1	Gene1Freq	Gene2	Gene2Freq	PercofSamples	Co_Occurrence
ANKRD30B	12.2807017544	B2M	2.63157894737	0.4444444444444444	1.3752380952356982
ANKRD30B	12.2807017544	CD1C	5.26315789474	1.3333333333333333	2.0628571428535474
ANKRD30B	12.2807017544	CFHR2	3.94736842105	0.4444444444444444	0.9168253968249601
ANKRD30B	12.2807017544	CRHBP	2.63157894737	0.8888888888888888	2.7504761904713964
ANKRD30B	12.2807017544	DEFB112	2.63157894737	0.4444444444444444	1.3752380952356982
ANKRD30B	12.2807017544	FAM83C	4.82456140351	0.8888888888888888	1.5002597402576439
ANKRD30B	12.2807017544	GABRB1	5.26315789474	1.3333333333333333	2.0628571428535474
ANKRD30B	12.2807017544	GABRG1	7.89473684211	0.4444444444444444	0.4584126984118994
ANKRD30B	12.2807017544	GCG	3.50877192982	0.8888888888888888	2.062857142857467
ANKRD30B	12.2807017544	IGFBP2	4.38596491228	0.8888888888888888	1.6502857142840919
ANKRD30B	12.2807017544	KCNJ12	4.38596491228	1.7777777777777777	3.3005714285681838
ANKRD30B	12.2807017544	KIAA1211	12.2807017544	1.3333333333333333	0.8840816326510402
ANKRD30B	12.2807017544	KLRG1	3.0701754386	0.4444444444444444	1.178775510201387
ANKRD30B	12.2807017544	KRTAP2-2	2.19298245614	0.8888888888888888	3.3005714285681838
ANKRD30B	12.2807017544	LRP1B	38.1578947368	6.666666666666667	1.4226600985221114
ANKRD30B	12.2807017544	MEOX1	1.75438596491	0.8888888888888888	4.125714285714934
ANKRD30B	12.2807017544	MMP24	2.63157894737	0.8888888888888888	2.7504761904713964
ANKRD30B	12.2807017544	MNDA	4.82456140351	1.3333333333333333	2.2503896103864656
ANKRD30B	12.2807017544	MRGPRX4	3.50877192982	0.4444444444444444	1.0314285714287335
ANKRD30B	12.2807017544	NAV3	24.5614035088	3.5555555555555554	1.178775510201387
ANKRD30B	12.2807017544	OR2C3	5.70175438596	0.8888888888888888	1.2694505494501922
ANKRD30B	12.2807017544	OR4K17	5.26315789474	0.8888888888888888	1.3752380952356982
ANKRD30B	12.2807017544	OR5M9	4.82456140351	0.4444444444444444	0.7501298701288219
ANKRD30B	12.2807017544	OR8H2	3.50877192982	0.8888888888888888	2.062857142857467
ANKRD30B	12.2807017544	PTEN	5.70175438596	0.4444444444444444	0.6347252747250961
ANKRD30B	12.2807017544	RB1	59.2105263158	9.777777777777779	1.3446772486754728
ANKRD30B	12.2807017544	RPL37	0.877192982456	0.4444444444444444	4.12571428571023
ANKRD30B	12.2807017544	SELP	6.57894736842	0.8888888888888888	1.1001904761893948
ANKRD30B	12.2807017544	SGCZ	5.70175438596	1.3333333333333333	1.9041758241752882
ANKRD30B	12.2807017544	SLC8A3	8.77192982456	1.3333333333333333	1.2377142857130687
ANKRD30B	12.2807017544	SPHKAP	17.1052631579	2.2222222222222223	1.0578754578739231
ANKRD30B	12.2807017544	TGM3	4.38596491228	0.4444444444444444	0.8251428571420459
ANKRD30B	12.2807017544	TMEM132D	21.9298245614	3.5555555555555554	1.3202285714272737
ANKRD30B	12.2807017544	TP53	86.4035087719	11.555555555555555	1.0890210297308207
ANKRD30B	12.2807017544	TRIM63	3.50877192982	0.4444444444444444	1.0314285714287335
ANKRD30B	12.2807017544	UNC93A	3.50877192982	1.3333333333333333	3.0942857142862
ANKRD30B	12.2807017544	ZCCHC5	4.82456140351	1.7777777777777777	3.0005194805152877
B2M	2.63157894737	CD1C	5.26315789474	0.4444444444444444	3.208888888885038
B2M	2.63157894737	CFHR2	3.94736842105	0.4444444444444444	4.278518518518803
B2M	2.63157894737	FAM83C	4.82456140351	0.4444444444444444	3.500606060603069
B2M	2.63157894737	GABRB1	5.26315789474	0.4444444444444444	3.208888888885038
B2M	2.63157894737	KCNJ12	4.38596491228	0.4444444444444444	3.850666666664972
B2M	2.63157894737	LRP1B	38.1578947368	1.3333333333333333	1.327816091954691
B2M	2.63157894737	NAV3	24.5614035088	0.4444444444444444	0.6876190476178491
B2M	2.63157894737	OR4K17	5.26315789474	0.4444444444444444	3.208888888885038
B2M	2.63157894737	PTEN	5.70175438596	0.4444444444444444	2.9620512820520566
B2M	2.63157894737	RB1	59.2105263158	2.6666666666666665	1.711407407406076
B2M	2.63157894737	SELP	6.57894736842	0.4444444444444444	2.5671111111099814
B2M	2.63157894737	SPHKAP	17.1052631579	0.4444444444444444	0.987350427349531
B2M	2.63157894737	TMEM132D	21.9298245614	0.4444444444444444	0.7701333333329945
B2M	2.63157894737	TP53	86.4035087719	1.3333333333333333	0.586395939086145
B2M	2.63157894737	UNC93A	3.50877192982	0.4444444444444444	4.813333333336702
CD1C	5.26315789474	CFHR2	3.94736842105	0.8888888888888888	4.278518518518803
CD1C	5.26315789474	FAM83C	4.82456140351	0.4444444444444444	1.7503030303015346
CD1C	5.26315789474	GABRB1	5.26315789474	0.8888888888888888	3.208888888885038
CD1C	5.26315789474	GABRG1	7.89473684211	0.8888888888888888	2.139259259256692
CD1C	5.26315789474	GCG	3.50877192982	0.4444444444444444	2.406666666668351
CD1C	5.26315789474	KCNJ12	4.38596491228	0.8888888888888888	3.850666666664972
CD1C	5.26315789474	LRP1B	38.1578947368	1.7777777777777777	0.8852107279697942
CD1C	5.26315789474	MNDA	4.82456140351	0.8888888888888888	3.500606060603069
CD1C	5.26315789474	NAV3	24.5614035088	0.4444444444444444	0.34380952380892454
CD1C	5.26315789474	OR2C3	5.70175438596	0.4444444444444444	1.4810256410260283
CD1C	5.26315789474	OR4K17	5.26315789474	0.4444444444444444	1.604444444442519
CD1C	5.26315789474	OR5M9	4.82456140351	0.4444444444444444	1.7503030303015346
CD1C	5.26315789474	OR8H2	3.50877192982	0.4444444444444444	2.406666666668351
CD1C	5.26315789474	RB1	59.2105263158	3.111111111111111	0.9983209876535447
CD1C	5.26315789474	SLC8A3	8.77192982456	1.3333333333333333	2.8879999999987285
CD1C	5.26315789474	SPHKAP	17.1052631579	0.8888888888888888	0.987350427349531
CD1C	5.26315789474	TMEM132D	21.9298245614	0.8888888888888888	0.7701333333329945
CD1C	5.26315789474	TP53	86.4035087719	3.5555555555555554	0.78186125211486
CFHR2	3.94736842105	DEFB112	2.63157894737	0.4444444444444444	4.278518518518803
CFHR2	3.94736842105	GCG	3.50877192982	0.8888888888888888	6.417777777790399
CFHR2	3.94736842105	KCNJ12	4.38596491228	0.4444444444444444	2.5671111111132325
CFHR2	3.94736842105	KIAA1211	12.2807017544	0.4444444444444444	0.9168253968249601
CFHR2	3.94736842105	LRP1B	38.1578947368	2.6666666666666665	1.7704214559418305
CFHR2	3.94736842105	NAV3	24.5614035088	1.3333333333333333	1.3752380952374401
CFHR2	3.94736842105	OR2C3	5.70175438596	0.4444444444444444	1.9747008547038722
CFHR2	3.94736842105	OR4K17	5.26315789474	1.3333333333333333	6.417777777778205
CFHR2	3.94736842105	OR5M9	4.82456140351	0.4444444444444444	2.3337373737383356
CFHR2	3.94736842105	OR8H2	3.50877192982	0.4444444444444444	3.2088888888951996
CFHR2	3.94736842105	RB1	59.2105263158	1.7777777777777777	0.760625514403664
CFHR2	3.94736842105	SLC8A3	8.77192982456	0.8888888888888888	2.5671111111132325
CFHR2	3.94736842105	SPHKAP	17.1052631579	0.4444444444444444	0.6582336182338544
CFHR2	3.94736842105	TMEM132D	21.9298245614	0.4444444444444444	0.5134222222226466
CFHR2	3.94736842105	TP53	86.4035087719	3.5555555555555554	1.0424816694878005
CFHR2	3.94736842105	TRIM63	3.50877192982	0.8888888888888888	6.417777777790399
CFHR2	3.94736842105	UNC93A	3.50877192982	0.4444444444444444	3.2088888888951996
CRHBP	2.63157894737	GABRB1	5.26315789474	0.8888888888888888	6.417777777770076
CRHBP	2.63157894737	IGFBP2	4.38596491228	0.8888888888888888	7.701333333329944
CRHBP	2.63157894737	KIAA1211	12.2807017544	0.8888888888888888	2.7504761904713964
CRHBP	2.63157894737	LRP1B	38.1578947368	1.3333333333333333	1.327816091954691
CRHBP	2.63157894737	MEOX1	1.75438596491	0.4444444444444444	9.626666666673405
CRHBP	2.63157894737	NAV3	24.5614035088	1.7777777777777777	2.7504761904713964
CRHBP	2.63157894737	OR2C3	5.70175438596	0.4444444444444444	2.9620512820520566
CRHBP	2.63157894737	OR4K17	5.26315789474	0.4444444444444444	3.208888888885038
CRHBP	2.63157894737	OR5M9	4.82456140351	0.4444444444444444	3.500606060603069
CRHBP	2.63157894737	RB1	59.2105263158	2.6666666666666665	1.711407407406076
CRHBP	2.63157894737	SGCZ	5.70175438596	0.8888888888888888	5.924102564104113
CRHBP	2.63157894737	SPHKAP	17.1052631579	0.4444444444444444	0.987350427349531
CRHBP	2.63157894737	TGM3	4.38596491228	0.4444444444444444	3.850666666664972
CRHBP	2.63157894737	TMEM132D	21.9298245614	0.8888888888888888	1.540266666665989
CRHBP	2.63157894737	TP53	86.4035087719	2.6666666666666665	1.17279187817229
CRHBP	2.63157894737	UNC93A	3.50877192982	0.4444444444444444	4.813333333336702
DEFB112	2.63157894737	KCNJ12	4.38596491228	0.4444444444444444	3.850666666664972
DEFB112	2.63157894737	LRP1B	38.1578947368	1.3333333333333333	1.327816091954691
DEFB112	2.63157894737	MNDA	4.82456140351	0.4444444444444444	3.500606060603069
DEFB112	2.63157894737	NAV3	24.5614035088	1.3333333333333333	2.0628571428535474
DEFB112	2.63157894737	OR5M9	4.82456140351	0.4444444444444444	3.500606060603069
DEFB112	2.63157894737	RB1	59.2105263158	2.2222222222222223	1.4261728395050637
DEFB112	2.63157894737	SCGB1D1	1.31578947368	0.4444444444444444	12.835555555588927
DEFB112	2.63157894737	SELP	6.57894736842	0.8888888888888888	5.134222222219963
DEFB112	2.63157894737	SLC8A3	8.77192982456	0.4444444444444444	1.925333333332486
DEFB112	2.63157894737	SPHKAP	17.1052631579	0.8888888888888888	1.974700854699062
DEFB112	2.63157894737	TMEM132D	21.9298245614	0.4444444444444444	0.7701333333329945
DEFB112	2.63157894737	TP53	86.4035087719	2.6666666666666665	1.17279187817229
DEFB112	2.63157894737	TRIM63	3.50877192982	0.4444444444444444	4.813333333336702
FAM83C	4.82456140351	GABRB1	5.26315789474	1.3333333333333333	5.250909090904603
FAM83C	4.82456140351	GABRG1	7.89473684211	0.8888888888888888	2.3337373737353793
FAM83C	4.82456140351	KLRG1	3.0701754386	0.4444444444444444	3.0005194805152877
FAM83C	4.82456140351	LRP1B	38.1578947368	2.2222222222222223	1.2071055381410456
FAM83C	4.82456140351	MNDA	4.82456140351	0.4444444444444444	1.9094214876023339
FAM83C	4.82456140351	MRGPRX4	3.50877192982	0.4444444444444444	2.6254545454572904
FAM83C	4.82456140351	NAV3	24.5614035088	1.3333333333333333	1.1251948051932328
FAM83C	4.82456140351	NUDT19	3.0701754386	0.4444444444444444	3.0005194805152877
FAM83C	4.82456140351	OR5M9	4.82456140351	0.8888888888888888	3.8188429752046678
FAM83C	4.82456140351	PTEN	5.70175438596	0.4444444444444444	1.6156643356653162
FAM83C	4.82456140351	RB1	59.2105263158	2.2222222222222223	0.7779124579121216
FAM83C	4.82456140351	RPL37	0.877192982456	0.4444444444444444	10.501818181817189
FAM83C	4.82456140351	SELP	6.57894736842	0.4444444444444444	1.400242424242292
FAM83C	4.82456140351	SLC8A3	8.77192982456	0.4444444444444444	1.0501818181817189
FAM83C	4.82456140351	SPHKAP	17.1052631579	0.4444444444444444	0.5385547785544758
FAM83C	4.82456140351	TCP10L2	3.0701754386	0.4444444444444444	3.0005194805152877
FAM83C	4.82456140351	TGM3	4.38596491228	0.4444444444444444	2.1003636363634377
FAM83C	4.82456140351	TMEM132D	21.9298245614	2.2222222222222223	2.100363636363438
FAM83C	4.82456140351	TP53	86.4035087719	4.0	0.9595569912322052
FAM83C	4.82456140351	TRIM63	3.50877192982	0.4444444444444444	2.6254545454572904
