gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	522041	144157	0	147	0	0	50	46	8758425	7.55E-15	8.06E-11
RB1	349930	450	41	1167452	298285	0	110	5	0	7	19	1730729	8.55E-15	8.06E-11
LRP1B	8988	1120	-11	5792137	1386983	0	117	12	0	15	40	5256238	8.37E-05	5.27E-01
GABRG1	36353	926	-2	575614	149396	0	17	1	0	34	50	7600099	2.02E-04	9.54E-01
PTEN	259678	300	34	511732	118976	0	14	1	0	50	39	8657870	3.07E-04	1
SGCZ	3398	1175	-34	381771	108498	0	16	2	0	15	22	2593981	6.64E-04	1
KCNJ12	405028	480	-60	510549	151593	0	17	2	0	50	94	13219687	7.24E-04	1
ANKRD30B	NaN	NaN	NaN	1762670	427063	0	32	4	0	39	113	15011425	7.66E-04	1
KLRG1	301954	416	11	237276	60840	0	8	0	0	50	57	11460735	9.68E-04	1
DEFB112	65301	1242	-3	140608	34307	0	7	0	0	50	62	8819434	1.25E-03	1
IGFBP2	582017	536	19	376870	125060	0	11	0	0	34	32	6029751	1.28E-03	1
TGM3	555761	399	27	846859	234065	0	22	3	0	50	62	10456875	1.35E-03	1
NAV3	23591	1077	-25	2858297	814411	0	59	9	0	27	76	7852754	1.45E-03	1
CD1C	120861	833	3	406276	111878	0	11	0	0	50	51	8564751	1.53E-03	1
MNDA	97345	985	2	502099	130637	0	15	1	0	50	65	8927087	2.08E-03	1
KIAA1211	460708	489	17	1461174	431964	0	34	1	0	6	2	806130	2.88E-03	1
SPHKAP	93607	615	-9	2041689	568854	0	40	3	0	24	34	4998344	2.95E-03	1
FAM83C	1290513	170	45	853957	289835	0	15	1	0	50	44	11018631	3.00E-03	1
TMEM132D	32086	969	-33	1312116	377208	0	44	7	0	4	9	1060137	3.36E-03	1
CFHR2	217857	853	-24	335634	85683	0	11	0	0	50	69	9432059	3.50E-03	1
MMP24	1290513	170	45	681746	191308	0	14	2	0	34	28	6236100	3.67E-03	1
PRNP	556280	447	11	306228	84162	0	10	1	0	50	51	10460424	3.82E-03	1
B2M	673122	428	36	149734	39884	0	5	0	0	50	51	9512672	4.50E-03	1
KRTAP2-2	NaN	NaN	NaN	143312	45292	0	5	0	0	50	124	18865808	4.54E-03	1
OR4K17	383274	768	-37	403741	119483	0	11	1	0	50	60	8889738	4.89E-03	1
GCG	95439	554	7	230347	55094	0	7	0	0	50	52	9595989	4.93E-03	1
SCGB1D1	2778889	450	53	111709	31772	0	5	0	0	50	47	9725612	5.34E-03	1
OR8H2	9992	1007	-32	365378	109681	0	10	0	0	26	43	6638489	5.54E-03	1
TCP10L2	NaN	NaN	NaN	428415	123708	0	13	2	0	35	99	12328719	5.72E-03	1
RPL37	212186	526	19	121849	34307	0	5	0	0	50	48	9193262	5.73E-03	1
OR2C3	272980	927	-14	373321	116948	0	11	0	0	50	64	8152053	5.87E-03	1
CRHBP	245514	418	17	395291	108160	0	8	1	0	50	44	9687587	6.26E-03	1
TTR	294098	541	20	176267	54925	0	6	0	0	50	55	10540699	6.89E-03	1
OR5M9	NaN	NaN	NaN	364533	107484	0	9	1	0	50	125	18928000	7.23E-03	1
NUDT19	420201	410	-36	435006	140946	0	9	0	0	50	49	9184474	7.42E-03	1
GABRB1	106512	689	24	580346	158353	0	12	1	0	50	151	21686756	7.56E-03	1
MEOX1	1180329	165	16	311974	80951	0	8	0	0	50	34	8244496	7.96E-03	1
TRIM63	748547	221	31	446329	108329	0	10	0	0	50	48	8290126	8.23E-03	1
MRGPRX4	631291	436	20	370617	121680	0	8	1	0	50	63	11776427	8.74E-03	1
ZCCHC5	263052	NaN	20	563615	160381	0	11	1	0	50	44	9233653	8.80E-03	1
UNC93A	254009	704	1	544687	166127	0	11	1	0	50	65	11896924	8.83E-03	1
SLC8A3	527365	409	28	1153763	328198	0	16	1	0	37	29	7340177	9.12E-03	1
SELP	294306	478	6	1029210	267696	0	15	1	0	50	54	10450960	9.16E-03	1
