gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	657957	181689	0	184	0	0	9	0	1263729	0	0
RB1	349930	450	41	1471404	375945	0	131	6	0	1	7	472434	1.685848e-10	1.589923e-06
PTEN	259678	300	34	644964	149952	0	22	1	0	50	41	10911990	2.551086e-07	1.603953e-03
KIAA1211	460708	489	17	1841598	544428	0	39	3	0	36	40	7973655	5.995446e-06	2.827152e-02
GABRG1	36353	926	-2	725478	188292	0	20	1	0	34	64	9578823	9.191118e-05	2.638623e-01
LRP1B	8988	1120	-11	7300149	1748091	0	131	15	0	15	49	6624726	9.764376e-05	2.638623e-01
TGM3	555761	399	27	1067343	295005	0	27	3	0	50	70	13179375	9.792366e-05	2.638623e-01
DEFB112	65301	1242	-3	177216	43239	0	9	0	0	50	72	11115618	1.359624e-04	3.205654e-01
AMBN	262055	689	14	696084	194682	0	14	2	0	50	54	11633208	5.023075e-04	1
ANKRD30B	NaN	NaN	NaN	2221590	538251	0	36	4	0	39	128	18919725	6.145104e-04	1
TMEM132D	32086	969	-33	1653732	475416	0	51	7	0	4	10	1336149	6.225058e-04	1
OR5J2	10101	1007	-38	460932	137811	0	13	0	0	5	5	1978131	6.765396e-04	1
REG1B	10958	1389	-22	268380	64539	0	13	1	0	50	113	10487694	7.080521e-04	1
SPHKAP	93607	615	-9	2573253	716958	0	47	4	0	24	39	6299688	7.458991e-04	1
MEOX1	1180329	165	16	393198	102027	0	10	0	0	50	37	10390992	9.797273e-04	1
KCNJ12	405028	480	-60	643473	191061	0	18	3	0	13	53	8833110	1.016281e-03	1
CD1C	120861	833	3	512052	141006	0	12	0	0	50	57	10794627	1.094885e-03	1
DCAF8L2	NaN	NaN	NaN	955518	258582	0	18	1	0	50	147	23979114	1.373540e-03	1
NUDT19	420201	410	-36	548262	177642	0	10	0	0	8	1	1753203	1.384666e-03	1
IGFBP2	582017	536	19	474990	157620	0	12	0	0	34	38	7599627	1.430219e-03	1
FAM83C	1290513	170	45	1076289	365295	0	16	1	0	50	47	13887387	1.995892e-03	1
ESX1	354255	NaN	47	594483	194682	0	10	2	0	50	56	11980398	2.130798e-03	1
KLRG1	301954	416	11	299052	76680	0	8	0	0	50	71	14444595	2.323411e-03	1
FAM47C	71087	NaN	-10	1494195	493095	0	19	1	0	8	11	4041036	3.663733e-03	1
OR8H2	9992	1007	-32	460506	138237	0	12	1	0	26	58	8366853	4.164062e-03	1
HIGD1C	569122	220	40	152508	39831	0	5	0	0	50	55	11932473	4.213478e-03	1
DLK1	383705	323	2	579147	167205	0	11	1	0	50	81	14756853	4.345514e-03	1
JPH2	526607	344	21	1021761	335475	0	13	1	0	39	38	10811667	4.455300e-03	1
DUSP22	224772	684	46	298200	74337	0	8	1	0	50	44	8611164	4.592906e-03	1
KRTAP12-4	874480	461	25	166992	52185	0	5	0	0	50	69	13544883	4.626075e-03	1
PGK2	67972	1246	2	619191	182115	0	13	1	0	50	67	11827677	4.848725e-03	1
MS4A14	433906	899	24	1032411	281373	0	16	3	0	16	8	2838225	5.094185e-03	1
B2M	673122	428	36	188718	50268	0	5	0	0	50	53	11989344	5.131085e-03	1
MMP24	1290513	170	45	859242	241116	0	14	2	0	34	30	7859700	5.249381e-03	1
TRIM63	748547	221	31	562533	136533	0	11	0	0	50	51	10448502	5.588811e-03	1
PRNP	556280	447	11	385956	106074	0	10	1	0	50	56	13183848	5.611541e-03	1
SCGB1D1	2778889	450	53	140793	40044	0	5	0	0	50	48	12257724	5.770748e-03	1
ETNK2	557652	370	34	597891	161880	0	11	0	0	50	54	13181931	5.812653e-03	1
SGCZ	3398	1175	-34	481167	136746	0	16	2	0	15	34	3269337	5.950233e-03	1
CDH7	4645	524	-49	1199403	334197	0	20	2	0	36	44	8161308	6.344644e-03	1
UNC93A	254009	704	1	686499	209379	0	11	1	0	30	30	8630334	6.421210e-03	1
GRB7	1448852	226	36	818346	239199	0	12	0	0	37	58	13229430	6.493591e-03	1
IL17F	313097	427	23	248358	72420	0	7	0	0	50	57	13147212	6.528912e-03	1
OR5AR1	NaN	NaN	NaN	461145	133764	0	11	2	0	35	114	15516411	6.981403e-03	1
OR8J3	10101	1007	-38	461997	142497	0	9	0	0	5	5	1978131	7.309277e-03	1
